"@timestamp","@version","_id","_index","_score","_type","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","hostname.name","input.type","log.file.path","log.offset",message,tags,type
"Jun 30, 2020 @ 04:37:18.935",1,DGCDA3MBU41gFNNr3AZp,"logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",7287,"2020-06-30 12:37:11.796  INFO 63741 --- [http-nio-8080-exec-6] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id 536ab","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,DWCDA3MBU41gFNNr3Aae,"logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",6779,"2020-06-30 12:37:11.332  INFO 63741 --- [http-nio-8080-exec-5] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id ac5a9","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,DmCDA3MBU41gFNNr3Aae,"logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",10846,"2020-06-30 12:37:16.900  INFO 63741 --- [http-nio-8080-exec-3] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id d6ebe","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,D2CDA3MBU41gFNNr3Aak,"logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",7795,"2020-06-30 12:37:11.992  INFO 63741 --- [http-nio-8080-exec-7] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id 3f123","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,"EGCDA3MBU41gFNNr3Aa-","logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",5763,"2020-06-30 12:37:11.009  INFO 63741 --- [http-nio-8080-exec-3] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id a8919","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,"EWCDA3MBU41gFNNr3Aa-","logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",9830,"2020-06-30 12:37:13.293  INFO 63741 --- [http-nio-8080-exec-1] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id ab8c4","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,EmCDA3MBU41gFNNr3AbR,"logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",5255,"2020-06-30 12:37:10.840  INFO 63741 --- [http-nio-8080-exec-2] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id db2d1","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,E2CDA3MBU41gFNNr3AbR,"logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",9319,"2020-06-30 12:37:12.878  INFO 63741 --- [http-nio-8080-exec-10] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id 8f525","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,FGCDA3MBU41gFNNr3Abe,"logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",8303,"2020-06-30 12:37:12.278  INFO 63741 --- [http-nio-8080-exec-8] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id 50890","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
"Jun 30, 2020 @ 04:37:18.935",1,FWCDA3MBU41gFNNr3Ab3,"logstash-2020.06.27-000001",0,"_doc","1ca4e838-eeaa-4b87-b52a-89fa385865b8","Smits-MacBook-Pro.local","864be1a9-e233-4d41-8624-cf94e916a0b7","Smits-MacBook-Pro.local",filebeat,"7.8.0","1.5.0","Smits-MacBook-Pro.local",log,"/Users/Smit/Downloads/chrome/observability/spring_app_log_file.log",6271,"2020-06-30 12:37:11.176  INFO 63741 --- [http-nio-8080-exec-4] c.e.o.controller.HomeController          : AUDIT_LOG >> customer id 8c088","[""observability"",""audit"",""beats"",""beats_input_codec_plain_applied""]",log
